,id,namesFormula,EC,deltaMass
8650,R01292,C00051 -> C00127,['1.8.4.1'],305.3076
8651,R01293,C00003 -> C00004,"['1.2.1.28', '1.2.1.64']",1.008
8652,R01294,C00005 -> C00006,"['1.2.1.7', '1.2.1.96']",1.008
8653,R01296,C00003 -> C00004,['1.14.13.33'],1.008
8654,R01297,C00003 -> C00004,['1.14.13.64'],1.008
8655,R01298,C00005 -> C00006,"['1.14.13.2', '1.14.13.33']",1.008
8656,R01299,C00005 -> C00006,['1.14.13.64'],1.008
8657,R01303,C00156 -> C00633,['1.14.99.-'],15.9994
8658,R01308,C00003 -> C00004,[],1.008
8659,R01308,C00033 -> C00811,[],104.106
8660,R01308,C00156 -> C00811,[],26.0373
8661,R01309,C00157 -> C00162,['3.1.1.5'],267.218
8662,R01309,C00157 -> C00162,[],267.218
8663,R01309,C00157 -> C00670,[],54.0058
8664,R01310,C00114 -> C00157,['3.1.4.4'],208.0642
8665,R01310,C00157 -> C00416,[],86.158
8666,R01312,C00157 -> C00641,['3.1.4.3'],166.137
8667,R01312,C00157 -> C00588,[],128.0843
8668,R01313,C00157 -> C04230,['3.1.1.4'],27.002
8669,R01313,C00060 -> C00157,[],268.226
8670,R01314,C00060 -> C00157,['3.1.1.32'],268.226
8671,R01314,C00157 -> C04233,[],27.002
8672,R01315,C00157 -> C04230,['3.1.1.4'],27.002
8673,R01315,C00157 -> C00162,[],267.218
8674,R01316,C00157 -> C00162,['3.1.1.32'],267.218
8675,R01316,C00157 -> C04233,[],27.002
8676,R01317,C00157 -> C04230,['3.1.1.4'],27.002
8677,R01317,C00157 -> C00219,[],7.7681
8678,R01318,C00010 -> C00040,['2.3.1.23'],27.0089
8679,R01318,C00157 -> C04230,[],27.002
8680,R01319,C00010 -> C00040,['2.3.1.62'],27.0089
8681,R01319,C00157 -> C04233,[],27.002
8682,R01320,C00157 -> C04308,"['2.1.1.16', '2.1.1.71']",15.035
8683,R01321,C00157 -> C00641,['2.7.8.2'],166.137
8684,R01322,C00002 -> C00008,['6.2.1.18'],79.9799
8685,R01326,C00002 -> C00008,"['2.7.1.1', '2.7.1.7']",79.9799
8686,R01330,C00131 -> C00206,['2.7.1.1'],79.9799
8687,R01333,C00003 -> C00004,['1.2.1.21'],1.008
8688,R01335,C00022 -> C05406,['3.7.1.-'],58.036
8689,R01335,C00160 -> C05406,[],70.0467
8690,R01337,C00003 -> C00004,['1.2.1.23'],1.008
8691,R01337,C00161 -> C00538,[],15.999
8692,R01338,C00005 -> C00006,['1.2.1.49'],1.008
8693,R01338,C00161 -> C00538,[],15.999
8694,R01339,C00025 -> C00026,[],1.0312
8695,R01339,C00161 -> C05167,[],1.032
8696,R01339,C00025 -> C05167,[],73.0703
8697,R01340,C00161 -> C00405,['1.4.3.3'],1.032
8698,R01340,C00007 -> C00027,[],2.0159
8699,R01341,C00007 -> C00027,[],2.0159
8700,R01342,C00161 -> C05167,['1.4.99.6'],1.032
8701,R01343,C00151 -> C00161,['2.6.1.13'],1.032
8702,R01344,C00161 -> C00405,['2.6.1.21'],1.032
8703,R01346,C00151 -> C00161,['2.6.1.14'],1.032
8704,R01349,C00162 -> C03395,['2.1.1.15'],14.027
8705,R01350,C00162 -> C00422,['3.1.1.34'],128.083
8706,R01350,C00116 -> C00422,[],81.0062
8707,R01351,C00162 -> C01885,['3.1.1.23'],74.079
8708,R01351,C00116 -> C01885,[],27.0022
8709,R01352,C00116 -> C02112,['3.1.1.23'],27.0022
8710,R01352,C00162 -> C02112,[],74.079
8711,R01353,C00002 -> C00008,"['2.7.2.1', '2.7.2.15']",79.9799
8712,R01361,C00003 -> C00004,['1.1.1.30'],1.008
8713,R01368,C00010 -> C00040,['2.3.1.22'],27.0089
8714,R01368,C00165 -> C02112,[],30.026
8715,R01369,C00060 -> C00422,"['3.1.1.3', '3.1.1.34', '3.1.1.79']",129.091
8716,R01369,C00165 -> C00422,[],84.03
8717,R01370,C00003 -> C00004,"['1.1.1.110', '1.1.1.237']",1.008
8718,R01371,C00005 -> C00006,['1.1.1.237'],1.008
8719,R01386,C00167 -> C01623,[],44.0095
8720,R01388,C00003 -> C00004,"['1.1.1.26', '1.1.1.29', '1.1.1.81']",1.008
8721,R01390,C00168 -> C00975,[],44.0095
8722,R01392,C00005 -> C00006,"['1.1.1.79', '1.1.1.81']",1.008
8723,R01395,C00002 -> C00008,"['2.7.2.2', '6.3.5.5']",79.9799
8724,R01403,C00003 -> C00004,['1.3.1.9'],1.008
8725,R01404,C00005 -> C00006,"['1.3.1.10', '1.3.1.39', '1.3.1.104', '1.3.1.-']",1.008
8726,R01409,C00177 -> C05712,"['4.1.2.10', '4.1.2.11', '4.1.2.47']",29.0186
8727,R01410,C01326 -> C05714,[],43.0678
8728,R01410,C00084 -> C05714,[],26.0405
8729,R01414,C00003 -> C00004,['1.3.1.1'],1.008
8730,R01415,C00005 -> C00006,['1.3.1.2'],1.008
8731,R01415,C00178 -> C21028,[],2.0159
8732,R01417,C00002 -> C00008,['2.7.3.10'],79.9799
8733,R01419,C00003 -> C00004,['1.2.1.28'],1.008
8734,R01420,C00005 -> C00006,['1.2.1.7'],1.008
8735,R01423,C00020 -> C06433,['3.6.1.20'],104.1061
8736,R01426,C00003 -> C00004,[],1.008
8737,R01426,C00033 -> C00423,[],88.1066
8738,R01426,C00180 -> C00423,[],26.0373
8739,R01427,C00180 -> C00587,[],15.9994
8740,R01429,C00003 -> C00004,"['1.1.1.121', '1.1.1.175']",1.008
8741,R01430,C00005 -> C00006,['1.1.1.179'],1.008
8742,R01431,C00005 -> C00006,"['1.1.1.21', '1.1.1.307']",1.008
8743,R01434,C00003 -> C00004,"['1.4.1.9', '1.4.1.23']",1.008
8744,R01441,C00002 -> C00008,['2.7.1.85'],79.9799
8745,R01442,C00007 -> C00027,['1.1.99.18'],2.0159
8746,R01446,C00003 -> C00004,['1.2.1.22'],1.008
8747,R01447,C00036 -> C00149,['1.1.99.7'],2.0158
8748,R01451,C00003 -> C00004,['1.3.1.21'],1.008
8749,R01452,C00005 -> C00006,['1.14.13.-'],1.008
8750,R01452,C00187 -> C15992,[],15.9994
8751,R01453,C00005 -> C00006,['1.14.13.-'],1.008
8752,R01453,C00187 -> C05418,[],15.9994
8753,R01456,C00005 -> C00006,['1.3.1.21'],1.008
8754,R01457,C00005 -> C00006,['1.3.1.72'],1.008
8755,R01459,C00007 -> C00027,['1.1.3.6'],2.0159
8756,R01461,C00010 -> C00040,['2.3.1.26'],27.0089
8757,R01461,C00187 -> C02530,[],27.0125
8758,R01462,C00187 -> C02530,['3.1.1.13'],27.0125
8759,R01465,C00003 -> C00004,['1.1.1.103'],1.008
8760,R01468,C00002 -> C00008,['2.7.1.82'],79.9799
8761,R01469,C00007 -> C00027,['1.4.3.8'],2.0159
8762,R01474,C00015 -> C00190,[],132.1146
8763,R01476,C00002 -> C00008,['2.7.1.43'],79.9799
8764,R01480,C00069 -> C06370,['3.2.1.139'],176.124
8765,R01480,C00191 -> C06370,[],1.0084
8766,R01481,C00005 -> C00006,"['1.1.1.2', '1.1.1.19']",1.008
8767,R01485,C00014 -> C00152,['2.3.2.7'],115.0874
8768,R01486,C00003 -> C00004,['1.2.1.29'],1.008
8769,R01487,C00003 -> C00004,['1.1.1.90'],1.008
8770,R01488,C00005 -> C00006,['1.1.1.91'],1.008
8771,R01489,C00007 -> C00027,['1.2.3.9'],2.0159
8772,R01490,C00005 -> C00006,['1.2.1.30'],1.008
8773,R01491,C00007 -> C00027,['1.1.3.7'],2.0159
8774,R01493,C00195 -> C00319,['3.5.1.23'],199.3949
8775,R01493,C00060 -> C00195,[],56.088
8776,R01494,C00195 -> C00319,['3.5.1.23'],199.3949
8777,R01494,C00162 -> C00195,[],55.08
8778,R01495,C00002 -> C00008,['2.7.1.138'],79.9799
8779,R01495,C00195 -> C02960,[],306.383
8780,R01496,C00010 -> C00040,"['2.3.1.24', '2.3.1.291']",27.0089
8781,R01496,C00195 -> C00319,[],199.3949
8782,R01497,C00195 -> C01190,['2.4.1.80'],388.545
8783,R01498,C00195 -> C01190,"['3.2.1.45', '3.2.1.62']",388.545
8784,R01498,C00031 -> C01190,[],308.4861
8785,R01500,C00195 -> C02686,['2.4.1.47'],543.85
8786,R01503,C00055 -> C00570,['2.7.8.-'],123.0477
8787,R01503,C00195 -> C06062,[],349.452
8788,R01505,C00003 -> C00004,['1.3.1.28'],1.008
8789,R01512,C00002 -> C00008,['2.7.2.3'],79.9799
8790,R01513,C00003 -> C00004,['1.1.1.95'],1.008
8791,R01514,C00002 -> C00008,['2.7.1.31'],79.9799
8792,R01520,C00003 -> C00004,['1.1.1.47'],1.008
8793,R01521,C00005 -> C00006,['1.1.1.47'],1.008
